yiddish,transliteration
יאָגורט,yogurt
יאַגעדע,yagede
יאָד,yod
יאָהר,yor
יאַנואַר,yanuar
יאָנץ,yonts
יאַפּאַניש,yapanish
יאַפּאַנער,yapaner
יאָר,yor
יאָרהונדערט,yorhundert
יאָרטאָג,yortog
יאָרטויזנט,yortoyznt
יאַריד,yarid
יאַרמולקע,yarmulke
יאַרמלקע,yarmlke
יאָרצענדלינג,yortsendling
יאָרצענדליק,yortsendlik
יאָרצײַט,yortsayt
יאַשטשערקע,yashtsherke
יְאֹר,y'ór
יְדִיעָה,y'di'á
יוגנט,yugnt
יויך,yoykh
יוּלִי,yúli
יוֹם,yom
יום־טובֿ,yontev
יונג,yung
יוּנִי,yúni
יוניאָן,yunyon
יופּיטער,yupiter
יחוס,yikhus
ייִד,yid
ייִדישיזם,yidishizm
ייִדישיסט,yidishist
ייִדישקייט,yidishkeyt
ייִדל,yidl
ייִדענע,yidene
ייִנגל,yingl
ייִנגעלע,yingele
ייִראת־הכּבֿוד,yires-hakoved
יָם,yam
יסורים,yisurem
יעגער,yeger
יעווסעקציע,yevsektsye
יענטע,yente
יעקע,yeke
יצר־הטובֿ,yeytser-hatoyv
יצר־הרע,yeytser-hore
ירגזון,yirgozn
ירושה \ ,y'rushá
יריד,yarid
יֵשׁ,yésh
ישיבֿה,yeshive
ישיבֿיש,yeshivish
יְשִׁיבָה,y'shivá
יָתוֹם,yatóm
יתומה,yesoyme
יתומל,yoseml
כאַלווע,khalve
כאָסן,khosn
כאַסענע,khasene
כאַפּער,khaper
כּבֿוד,koved
כּהונה,kehune
כוואַט,khvat
כוואַליע,khvalye
כּוח,koyekh
כּזית,kezayes
כּח,koyekh
כּלה,kale
כּלי־זיין,klezayen
כוליגאַן,khuligan
כּלל,klal
כּסלו,kislev
כּעס,kas
כּשרות,kashres
כּתובה,ksube
כּתר,keser
כינעזער,khinezer
כירורג,khirurg
כירורגיע,khirurgye
כמאַרע,khmare
כניאָק,khnyok
כעלמער,khelmer
כעלעמער,khelemer
כעמיע,khemye
כעמיקער,khemiker
כראַבינע,khrabine
כראַביע,khrabye
כראָנאָלאָגיע,khronologye
כריזאַנטעמע,khrizanteme
כריין,khreyn
כרעמזל,khremzl
כרעסטאָמאַטיע,khrestomatye
כַּשְׁרוּת,kashrut
לאַבן,labn
לאָגאַריטם,logaritm
לאָגיק,logik
לאַורעאַט,laureat
לאַטוויש,latvish
לאַטוטניק,latutnik
לאַטקע,latke
לאַם,lam
לאָמפּ,lomp
לאַנד,land
לאַנדסמאַן,landsman
לאַנדקאַרטע,landkarte
לאַפּסערדאַק,lapserdak
לאָפּעטע,lopete
לאַפֿער,lafer
לאַקס,laks
לאָקש,loksh
לאָרד,lord
לבֿנה,levone
לְהַכְעִיס,l'hakh'ís
לוויתן,levyosn
לוּחַ,lúakh
לויב,loyb
לויז,loyz
לויער,loyer
לולבֿ,lulev
לונג,lung
לופֿט,luft
לופֿטמענטש,luftmentsh
לופֿטפֿעלד,luftfeld
ליאַלקע,lyalke
ליבע,libe
ליבעלע,libele
ליבשאַפֿט,libshaft
ליגן,lign
ליגנער,ligner
לְיַד־‎,l'yád-
לידערבוך,liderbukh
ליטוואַק,litvak
ליטווינער,litviner
ליטוויש,litvish
ליטיום,litium
ליטער,liter
ליטעראַטור,literatur
לייב,leyb
לייביכע,leybikhe
לייטער,leyter
ליים,leym
לייענונג,leyenung
לייענער,leyener
לייקע,leyke
ליכט,likht
ליכטל,likhtl
ליליע,lilye
לימאָנאַד,limonad
לימוד \ ,limúd
לימענע,limene
לינגוויסט,lingvist
לינגוויסטיק,lingvistik
לינדז,lindz
לינקיסט,linkist
ליפּ,lip
ליק,lik
למדן,lamdn
לעבל,lebl
לעבן,lebn
לעבער,leber
לעגענדע,legende
לעדער,leder
לעזער,lezer
לעטיש,letish
לעמל,leml
לענד,lend
לענדן,lendn
לעניניזם,leninizm
לעניניסט,leninist
לעפּל,lepl
לעפֿל,lefl
לעק,lek
לעקער,leker
לעקערל,lekerl
לעקציע,lektsye
לערנונג,lernung
לערנייִנגל,lernyingl
לערער,lerer
לערערין,lererin
לץ,lets
לצעכע,leytsekhe
לָשׁוֹן,lashón
לײַב,layb
לײַבל,laybl
לײַבקע,laybke
לײַוונט,layvnt
לײַט,layt
מאָביל־טעלעפֿאָן,mobil-telefon
מאָבילקע,mobilke
מאָגן,mogn
מאַגנעט,magnet
מאַדזשאַר,madzhar
מאָדערניזם,modernizm
מאָדערניסט,modernist
מאַהאַראַדזשאַ,maharadzha
מאָטאָציקל,mototsikl
מאַטעמאַטיק,matematik
מאַטעריע,materye
מאַי,may
מאַך,makh
מאָך,mokh
מאַכאָרקע,makhorke
מאַכט,makht
מאַכער,makher
מאָל,mol
מאָלעקול,molekul
מאָלער,moler
מאָלערײַ,moleray
מאַלפּע,malpe
מאָלצײַט,moltsayt
מאַמינקע,maminke
מאַמע,mame
מאָמענט,moment
מאַמעניו,mamenyu
מאַמעשי,mameshi
מאַן,man
מאָנאַט,monat
מאָנאָלאָג,monolog
מאָנאָפּאָל,monopol
מאַנגאָ,mango
מאַנגאַן,mangan
מאַנגאַנעז,manganez
מאַנדאָלינע,mandoline
מאַנדל,mandl
מאַנדלאַך,mandlakh
מאַנדלבוים,mandlboym
מאַנדלבראָט,mandlbrot
מאַנדלעך,mandlekh
מאָנטיק,montik
מאָניזם,monizm
מאָניסט,monist
מאַנסביל,mansbil
מאַנספּאַרשוין,mansparshoyn
מאָס,mos
מאַסלינע,masline
מאָסקווער,moskver
מאָראַל,moral
מאַראַנץ,marants
מאָרגן,morgn
מאָרגנשטערן,morgnshtern
מאָרדע,morde
מאַרך,markh
מאַרמאַלאַד,marmalad
מאַרמאָלאַד,marmolad
מאַרמאָר,marmor
מאַרמעלאַד,marmelad
מאַרמער,marmer
מאַרץ,marts
מאַרק,mark
מאַרקסיזם,marksizm
מאַרקסיסט,marksist
מאַרש,marsh
מאַשין,mashin
מַאֲדִים,ma’adim
מַאֲכָל,ma'akhál
מַאֲמָר,ma'amár
מבֿין,meyvn
מגילה \ ,m'gilá
מִדְבָּר,midbár
מְדִינָה,m'diná
מַדְרֵגָה,madregá
מִדְרָשׁ,midrásh
מוֹהֵל,mohél
מוות \ ,mávet
מוזיי,muzey
מוזיק,muzik
מוזיקער,muziker
מוח \ ,móakh
מוֹט,mot
מוטער,muter
מוטער־שפּראַך,muter-shprakh
מוטערטראַכט,mutertrakht
מוטערלאַנד,muterland
מוטערשייד,mutersheyd
מוטערשפּראַך,mutershprakh
מויד,moyd
מויז,moyz
מויל,moyl
מוסולמאַן,musulman
מוסקל,muskl
מוראַשקע,murashke
מְזוּזָה,m'zuzá
מַזָּל,mazál
מִזְרָח,mizrakh
מְחַבֵּר,m'khabér
מחותּן,mekhutn
מחותּנישאַפֿט,mekhutonishaft
מחותּנתטע,mekhuteneste
מְחַיֶּה‎,meḥayé
מחלוקת \ ,makhlóket
מַטְבֵּעַ,matbéa'
מיאַטע,myate
מיאוסקייט,meyeskeyt
מידקײט,midkeyt
מיט,mit
מיטה \ ,mitá
מיטוואָך,mitvokh
מיטל,mitl
מיטלהויכדײַטש,mitlhoykhdaytsh
מיטלשול,mitlshul
מיטן,mitn
מיידל,meydl
מיידעלע,meydele
מיינונג,meynung
מילגרוים,milgroym
מִילָה,milá
מיליאָן,milyon
מיליאָנער,milyoner
מיליאַרד,milyard
מיליגראַם,miligram
מיליטאַנט,militant
מיליטער,militer
מיליליטער,mililiter
מילימעטער,milimeter
מילך,milkh
מילכיגער,milkhiger
מילכיקער,milkiker
מילעך,milekh
מִין,min
מינאַרעט,minaret
מינדערהייט,minderheyt
מינוט,minut
מיניסטער,minister
מינסקער,minsker
מינעראַל־וואַסער,mineral-vaser
מינץ,mints
מיסטיציזם,mistitsizm
מיענטע,myente
מיקראָפֿילם,mikrofilm
מירמל,mirml
מישנה,mishne
מישפּאָכע,mishpokhe
מכּבי,makabi
מכּבייער,makabeyer
מכּה,make
מלאָכה,melokhe
מַלְאָךְ,mal'ákh
מלאך־המות,malakhamoves
מְלָאכָה,m'lakhá
מְלוּכָה,m'lukhá
מִלְחָמָה,milkhamá
מַלְכָּה,malká
מלכּה,malke
מְלַמֵּד,m'laméd
מֶמְשָׁלָה,memshalá
מִן,min
מַנְגָּן,mangán
מִנְהָג,minhág
מְנוֹרָה,m'norá
מִנְחָה,minkhá
מִנְיָן,minyán
מָסוֹרָה‏,masorá
מְסִירָה,m'sirá
מסכתּא,mesekhte
מספּר,misper
מעבל,mebl
מעדיקאַמענט,medikament
מעטאָד,metod
מעטאָדיסט,metodist
מעטאָדיק,metodik
מעטאָדע,metode
מעטאַפֿיזיק,metafizik
מעטעאָראָלאָגיע,meteorologye
מעטער,meter
מעטראָ,metro
מעטשעט,metshet
מעכאַניקער,mekhaniker
מֵעַל,me'ál
מעלאָן,melon
מַעֲלָה,ma'alá
מעמואַרן,memuarn
מענטש,mentsh
מעסער,meser
מעקלער,mekler
מער,mer
מַעֲרָב,ma'aráv
מערבֿ,mayrev
מערהייט,merheyt
מַעֲרָכָה,ma'arakha
מערצאָל,mertsol
מַעַשׂ,máʿas
מעשׂה,mayse/manse
מַעֲשֶׂה,ma‘asé
מפֿטיר,mafter
מַצָּה,matsá
מציאה,metsiye
מקווה \ ,mikvé
מָקוֹם,makóm
משׂכּיל,maskil
משוגענער,meshugener
משוגעת,meshugas
מָשִׁיחַ,mashíakh
מָשָׁל,mashál
משפּחה,mishpokhe
מִשְׁפָּחָה,mishpakhá
מַשְׁקֶה,mashke
מֵת,mét
מתּנה,matone
מתנגד,misnaged
מײַ,may
מײַל,mayl
מײַסטער,mayster
נאַגאַן,nagan
נאָגל,nogl
נאָדל,nodl
נאָוועמבער,november
נאָז,noz
נאָזלאָך,nozlokh
נאַטור,natur
נאַכט,nakht
נאַכטהעמד,nakhthemd
נאָכלויפֿער,nokhloyfer
נאָמען,nomen
נאָס,nos
נאַצי,natsi
נאַציאָנאַליזם,natsyonalizm
נאַציזם,natsizm
נאַקן,nakn
נאַר,nar
נאַרישקייט,narishkeyt
נבֿואה,nevue
נבֿיא,novi
נבֿיאה,neviye
נגיד,ngid
נָדָן,nadán
נואף \ ,no'éf
נודניק,nudnik
נול,nul
נומער,numer
נוס,nus
נוסח \ ,nusákh
נוץ,nuts
נוקלעאָן,nukleon
ניאוף \ ,ne'úf
ניגון \ ,nigún
ניגונדל,nigndl
ניהיליזם,nihilizm
ניהיליסט,nihilist
ניוואָ,nivo
ניטל \ ,nitál
ניטלבוים,nitlboym
נייטראָן,neytron
ניימאַשין,neymashin
ניס,nis
ניסל,nisl
ניסן,nēsɑn
ניסערײַ,niseray
ניקוד \ ,nikúd
נִיקֶל,nikel
ניר,nir
נֵס,nés
נעאָן,neon
נעביש,nebish
נעגער,neger
נעגערטע,negerte
נעווראָלאָגיע,nevrologye
נעסט,nest
נעפּטון,neptun
נעפּטוניום,neptunyum
נעפּל,nepl
נערוו,nerv
נְקָמָה,nekama
נְשָׁמָה,n'shamá
נײַנטל,nayntl
נײַנציקסטל,nayntsikstl
נײַנצנטל,nayntsntl
נײַעס,nayes
סאָד,sod
סאָדע,sode
סאָוויעט,sovyet
סאָווע,sove
סאָוועטיזאַציע,sovetizatsye
סאַזשלקע,sazhlke
סאַטורן,saturn
סאַלאַט,salat
סאָלדאַט,soldat
סאַמאָדערזשאַוויע,samoderzhavye
סאָסנע,sosne
סאָפֿע,sofe
סאָציאָלאָג,sotsyolog
סאָציאָלאָגיע,sotsyologye
סאָציאַליזם,sotsyalizm
סאָציאַליסט,sotsyalist
סאַקסאָפֿאָן,saksofon
סאַראָקע,saroke
סאָראָקע,soroke
סבֿיבֿה,svive
סֵדֶר,séder
סובאָטניק,subotnik
סובסטאַנטיוו,substantiv
סוֹד,sod
סולטאַן,sultan
סוֹף,sóf
סופֿר,soyfer
סְחוֹרָה,s'khorá
סטאַוו,stav
סטאַטיסטיק,statistik
סטאָליאַר,stolyar
סטאַליניזם,stalinizm
סטאַליניסט,stalinist
סטאָליער,stolyer
סטאַשקע,stashke
סטאַשקעשמיר,stashkeshmir
סטודיאָ,studyo
סטודיע,studye
סטודענט,student
סטודענטין,studentin
סטודענטקע,studentke
סטרוזש,struzh
סטרונע,strune
סיבירער,sibirer
סידור \ ,sidúr
סיוון \ ,siván
סיים \ ,siyém
סיימיסט,seymist
סיליציום,silitsyum
סיליקאָן,silikon
סימבאָל,simbol
סִימָן,simán
סינאַגאָגע,sinagoge
סיראָפּ,sirop
סירופּ,sirup
סלאָוואַק,slovak
סלאָוואַקיש,slovakish
סַם,sam
סמאָקינג,smoking
סמאַראַגד,smaragd
סְמִיכָה,s'mikhá
סמעטענע,smetene
סנאָפּ,snop
סְעוּדָה,s'udá
סעלעריע,selerye
סענאַט,senat
סענאַטאָר,senator
סעניאָר,senyor
סעניאָראַ,senyora
סעפּטעמבער,september
סעקונדע,sekunde
סעקטע,sekte
סעקס,seks
סערביש,serbish
סערוועטקע,servetke
סעריע,serye
ספּאָדיק,spodik
ספּאָדניצע,spodnitse
ספּאָדעק,spodek
ספּאַרזשע,sparzhe
ספּודניצע,spudnitse
ספּיריטואַליזם,spiritualizm
ספּעקטאַקל,spektakl
ספֿר,seyfer
סקאָרפּיאָן,skorpyon
סתּירה,stire
עבֿרה,aveyre
עבֿרי,ivre
עוֹלָם,'olám
עומר \ ,'ómer
עוֹף,of
עופֿעלע,eyfele
עטיק,etik
עטנאָגראַפֿיע,etnografye
עיבור־יאָר,iber-yor
עילוי,ile
עין־הרע,eyn-hore
עלטערן,eltern
עלטערנס,elterns
עָלֶיהָ,'aléha
עלנבויגן,elnboygn
עלעגיע,elegye
עלעפֿאַנט,elefant
עלעקטראָן,elektron
עלעקטריע,elektrye
עלעקטריציטעט,elektritsitet
עלעקטריקער,elektriker
עלעקטרע,elektre
עלף,elf
עלפֿטל,elftl
עם־האָרץ,amorets
עמיגראַנט,emigrant
עמיגראַציע,emigratsye
עמך,amkho
עמער,emer
ענגליש,english
ענטפֿער,entfer
עִנְיָן,inyán
ענלעכקייט,enlekhkeyt
ענערגיע,energye
ענציקלאָפּעדיע,entsiklopedye
ענקאַוועדעניק,enkavedenik
עסטרײַכער,estraykher
עסיי,esey
עסיק,esik
עסן,esn
עספּעראַנטאָ,esperanto
עפּאָכע,epokhe
עפּידעמיאָלאָגיע,epidemyologye
עפּידעמיע,epidemye
עפּילאָג,epilog
עפּיסטעמאָלאָגיע,epistemologye
עפּל,epl
עפּלבוים,eplboym
עפּלזאַפֿט,eplzaft
עֵצָה,eitsá
עקאָנאָמיע,ekonomye
עקאָנאָמיק,ekonomik
עקדיש,ekdish
עקוואַטאָר,ekvator
עקזעמפּלאַר,ekzemplar
עקזעקוציע,ekzekutsye
עקרה,akore
עראָפּאָרט,eroport
עראָפּלאַן,eroplan
ערד,erd
ערדאַרבעטער,erdarbeter
עשׂרת ,asores hashvotem
פֿאַבריק,fabrik
פֿאָדעם,fodem
פֿאַזאַן,fazan
פֿאָטער,foter
פֿאָטערלאַנד,foterland
פֿאָך,fokh
פֿאָלק,folk
פֿאָלקלאָר,folklor
פֿאָלקסביבליאָטעק,folksbiblyotek
פֿאָלקסווערטל,folksvertl
פֿאָלקסרעפּובליק,folksrepublik
פֿאָלקסשול,folksshul
פֿאַמיליע,familye
פֿאָן,fon
פֿאָנאָלאָגיע,fonologye
פֿאָנעטיק,fonetik
פֿאָנעם,fonem
פֿאַסאָליע,fasolye
פֿאָסיל,fosil
פֿאָספֿאַט,fosfat
פֿאַקט,fakt
פֿאַקטאָר,faktor
פֿאַראַכטונג,farakhtung
פֿאַראיין,fareyn
פֿאַראייניקונג,fareynikung
פֿאַרב,farb
פֿאַרבאַנד,farband
פֿאַרבעסערונג,farbeserung
פֿאַרברעך,farbrekh
פֿאַרברעכער,farbrekher
פֿאַרברענגען,farbrengen
פֿאַרגאַנג,fargang
פֿאַרגאַנגענהייט,fargangenheyt
פֿאַרגעוואַלדיגונג,fargevaldigung
פֿאַרגעניגן,fargenign
פֿאַרטאָג,fartog
פֿאַרלאַג,farlag
פֿאַרמער,farmer
פֿאָרעם,forem
פֿאַרפֿל,farfl
פֿאָרץ,forts
פֿאַרקויף,farkoyf
פֿאַרקויפֿער,farkoyfer
פֿאַרקויפֿערין,farkoyferin
פֿאָרשונג,forshung
פֿאָרשטעלונג,forshtelung
פֿאַשיזם,fashizm
פֿאַשיסט,fashist
פאכווע,pakhve
פְּאֵר,p'ér
פּאָגראָם,pogrom
פּאָדלאָגע,podloge
פּאָדקאָווע,podkove
פּאָדקעווע,podkeve
פּאַה,peye
פּאָווידלע,povidle
פּאַווע,pave
פּאָטאַסיום,potasyum
פּאַטלעזשאַן,patlezhan
פּאָטקאָווע,potkove
פּאָטקעווע,potkeve
פּאַטריאָט,patryot
פּאַטריאָטיזם,patryotizm
פּאַיאַץ,payats
פּאָיעזד,poyezd
פּאַכווע,pakhve
פּאַלאַץ,palats
פּאָליאַטשקע,polyatshke
פּאָליאַנער,polyaner
פּאָליאַק,polyak
פּאָליטיק,politik
פּאָליציאַנט,politsyant
פּאָליציי,politsey
פּאָליציסט,politsist
פּאָליצע,politse
פּאַלעאָנטאָלאָג,paleontolog
פּאַלעאָנטאָלאָגיע,paleontologye
פּאַלעסטינער,palestiner
פּאָמידאָר,pomidor
פּאָמעראַנץ,pomerants
פּאָמפּערניקל,pompernikl
פּאַן,pan
פּאַני,pani
פּאָסט,post
פּאַסטושקע,pastushke
פּאַסטעך,pastekh
פּאַסטראַמי,pastrami
פּאַסטראַמע,pastrame
פּאַסכע,paskhe
פּאַסקודניאַק,paskudnyak
פּאָעזיע,poezye
פּאָעט,poet
פּאָעם,poem
פּאָעמע,poeme
פּאָפּוגײַ,popugay
פּאַפּיראָס,papiros
פּאַפּירעסל,papiresl
פּאַפּריקע,paprike
פּאָץ,pots
פּאָקן,pokn
פּאָר,por
פּאַראַדאָקס,paradoks
פּאַראָדיסט,parodist
פּאַראָדיע,parodye
פּאַראַפּסיכאָלאָגיע,parapsikhologye
פּאַרטיזאַן,partizan
פּאַרטיי,partey
פּאַריזער,parizer
פּאָרל,porl
פּאָרנאָגראַפֿיע,pornografye
פּאַרע,pare
פּאָרפֿאָלק,porfolk
פּאַרק,park
פּאַרשוין,parshoyn
פּאַשאַ,pasha
פּאה,peye
פּוד,pud
פּוטער,puter
פּויליש,poylish
פּויער,poyer
פּויפּס,poyps
פּויפּסט,poypst
פּויק,poyk
פּויקשטעקל,poykshtekl
פּונקט,punkt
פּורימשפּיל,purimshpil
פּושקע,pushke
פֿוטער,futer
פּיאַווקע,pyavke
פּיאַטע,pyate
פּיאָן,pyon
פּיאַנע,pyane
פֿויגל,foygl
פּידקאָווע,pidkove
פּיזשאַמעס,pizhames
פּילאָט,pilot
פּינגווין,pingvin
פֿויסט,foyst
פּיסטויל,pistoyl
פּיסק,pisk
פּיעסע,pyese
פּיפּערנאָטער,pipernoter
פּיצע,pitse
פּיקהאָלץ,pikholts
פּיראָג,pirog
פּירוש,peyresh
פּירושקע,pirushke
פּלאַזשע,plazhe
פּלאַטינום,platinum
פּלאַנעט,planet
פּלאַנעטע,planete
פּלאַץ,plats
פּלוטאָ,pluto
פּלוטאָניום,plutonyum
פּליוש,plyush
פּליט,polet
פּליטה,pleyte
פּלייצע,pleytse
פּלימעניצע,plimenitse
פּלימעניק,plimenik
פּלעצל,pletsl
פּלשתּי,plishti
פֿונגוס,fungus
פֿונט,funt
פּנים,ponem
פּנימל,peneml
פֿונק,funk
פֿוס,fus
פֿוסבאַל,fusbal
פֿוסבאָל,fusbol
פֿוסבאַליסט,fusbalist
פֿוסבאָליסט,fusbolist
פּסוק,posek
פּסיכאָאַנאַליז,psikhoanaliz
פּסיכאָאַנאַליטיקער,psikhoanalitiker
פּסיכאָלאָג,psikholog
פּסיכאָלאָגיע,psikhologye
פּסיכע,psikhe
פּעדלער,pedler
פּעליקאַן,pelikan
פּעלץ,pelts
פּעמפּיק,pempik
פּעניס,penis
פּעסאָ,peso
פּעקלפֿלייש,peklfleysh
פּערל,perl
פֿופֿציקסטל,fuftsikstl
פֿופֿצנטל,fuftsntl
פֿוקס,fuks
פּראָבלעם,problem
פּראָבע,probe
פּראָזע,proze
פּראָטאָן,proton
פּראָיעקט,proyekt
פּראָלאָג,prolog
פּראָנאָם,pronom
פּראָפֿעסאָר,profesor
פּראָפֿעסיע,profesye
פּראָפֿ׳‎,prof'
פּראָצענט,protsent
פּראַקטיק,praktik
פּרוסאַק,prusak
פּרט,prat
פּריז,priz
פּריזיוו,priziv
פּריזיווניק,prizivnik
פּרינץ,prints
פּרינציפּ,printsip
פּרינצעסין,printsesin
פּריפּעטשיק,pripetshik
פּרעזידענט,prezident
פּרעמיע,premye
פּרעמיער,premyer
פּרעפּאָזיציע,prepozitsye
פּרשה,parshe
פּרײַז,prayz
פּתח,pasekh
פּײַן,payn
פּײַקל,paykl
פּײַקלער,paykler
פֿי,fi
פֿיאַלקע,fyalke
פֿידל,fidl
פֿידלער,fidler
פֿיזיק,fizik
פֿיזיקער,fiziker
פֿייגעלע,feygele
פֿיך,fikh
פֿילאָלאָג,filolog
פֿילאָלאָגיע,filologye
פֿילאָסאָפֿיע,filosofye
פֿילם,film
פֿינאַנץ,finants
פינגער,finger
פֿינגער,finger
פֿינגערל,fingerl
פֿיניש,finish
פֿינסטערניש,finsternish
פֿינפֿטל,finftl
פֿינצטערניש,fintsternish
פֿיסטאַשקע,fistashke
פֿיסל,fisl
פֿירזאָגערין,firzogerin
פֿירמע,firme
פֿירער,firer
פֿיש,fish
פֿישער,fisher
פֿלאַטערל,flaterl
פֿלאַם,flam
פֿלאַש,flash
פֿלוי,floy
פֿלוים,floym
פֿלי,fli
פֿליג,flig
פֿליגל,fligl
פֿלייט,fleyt
פֿלייטיסט,fleytist
פֿלייש,fleysh
פֿליפֿעלד,flifeld
פֿלעדערמויז,fledermoyz
פֿעברואַר,februar
פֿעדער,feder
פֿעדעראַציע,federatsye
פֿעלד,feld
פֿעליעטאָן,felyeton
פֿעליעטאָניסט,felyetonist
פֿעמיניזם,feminizm
פֿעמיניסט,feminist
פֿענצטער,fentster
פֿעפֿער,fefer
פֿעץ,fets
פֿערד,ferd
פֿערדבין,ferdbin
פֿערדל,ferdl
פֿערטל,fertl
פֿעריס־ראָד,feris-rod
פֿערישקע,ferishke
פֿערציקסטל,fertsikstl
פֿערצנטל,fertsntl
פֿערשקע,fershke
פֿראַגמענט,fragment
פֿראַגע,frage
פֿראַנצויז,frantsoyz
פֿראַנצייזיש,frantseyzish
פֿרוי,froy
פֿרוכט,frukht
פֿרומאַק,frumak
פֿרומקײַט,frumkayt
פֿרייד,freyd
פֿרילינג,friling
פֿרימאָרגן,frimorgn
פֿרישטיק,frishtik
פֿרעגצייכן,fregtseykhn
פֿרעסער,freser
פֿרײַטיק,fraytik
פֿרײַנד,fraynd
פֿרײַנדין,frayndin
פֿרײַנדשאַפֿט,frayndshaft
פֿײַל,fayl
פֿײַער,fayer
פֿײַערל,fayerl
פֿײַערצונג,fayertsung
פֿײַפֿל,fayfl
פֿ׳‎,f'
צאָל,tsol
צאַם,tsam
צאָן,tson
צאָנדאָקטער,tsondokter
צאָפּ,tsop
צאַפּנבערדל,tsapnberdl
צאַצקע,tsatske
צאַר,tsar
צאַרינע,tsarine
צאַריצע,tsaritse
צַדִּיק,tsadík
צְדָקָה,ts'daká
צַדֶּקֶת,tsadéket
צוג,tsug
צוהערער,tsuherer
צוואַנציקסטל,tsvantsikstl
צוואָרעך,tsvorekh
צוויט,tsvit
צווילינג,tsviling
צווינטער,tsvinter
צוועלפֿטל,tsvelftl
צווײַג,tsvayg
צווײַגמעסער,tsvaygmeser
צונג,tsung
צוקונפֿט,tsukunft
צוקער,tsuker
צוּרָה,tsurá
ציבעלע,tsibele
ציג,tsig
ציגאַר,tsigar
ציגל,tsigl
ציגעלע,tsigele
ציגײַנער,tsigayner
ציוניזם,tsienizm
ציוניסט,tsienist
ציטער,tsiter
ציטראָן,tsitron
ציטרין,tsitrin
צייכן,tseykhn
ציינשטעכער,tseynshtekher
ציל,tsil
צילינדער,tsilinder
צימוקים־ווײַן,tsimukim-vayn
צימעס,tsimes
צימער,tsimer
צימערינג,tsimering
צימרינג,tsimring
צינק,tsink
ציעניסט,tsienist
ציִעניסט,tsienist
צִיץ,tsíts
צִיצִית,tsitsít
ציצל,tsitsl
ציצע,tsitse
צִיר,tsír
צירונג,tsirung
צְנִיעוּת,ts'niút
צעדערבוים,tsederboym
צענדליק,tsendlik
צענזוס,tsenzus
צענטימעטער,tsentimeter
צענטל,tsentl
צענטער,tsenter
צענערלינג,tsenerling
צַעַר,tsa'ár
צערקווע,tserkve
צפֿון,tsofn
צָרָה,tsará
צײַט,tsayt
צײַטונג,tsaytung
צײַטפֿאָרמע,tsaytforme
צײַטשריפֿט,tsaytshrift
קאָבאַלט,kobalt
קאַגעבעשניק,kagebeshnik
קאָוואַדלע,kovadle
קאָוואַל,koval
קאַוויאַר,kavyar
קאַווע,kave
קאָוועל,kovel
קאַוועניק,kavenik
קאַווענע,kavene
קאָזאַק,kozak
קאַטאַלאָג,katalog
קאַטעגאָריע,kategorye
קאַטשער,katsher
קאַטשקע,katshke
קאָכבוך,kokhbukh
קאַלאָש,kalosh
קאָלווירטניק,kolvirtnik
קאַליום,kalyum
קאַליפֿיאָר,kalifyor
קאַליקע,kalike
קאָליר,kolir
קאָלכאָז,kolkhoz
קאָלכאָזניק,kolkhoznik
קאַלע,kale
קאָלעג,koleg
קאָלעגין,kolegin
קאָלעגע,kolege
קאַלענדאַר,kalendar
קאַלציום,kaltsyum
קאַלקולוס,kalkulus
קאַלקע,kalke
קאַם,kam
קאַמאָד,kamod
קאָמאָד,komod
קאָמאָדע,komode
קאָמאַר,komar
קאָמוניזם,komunizm
קאָמוניסט,komunist
קאָמוניסטקע,komunistke
קאָמיטעט,komitet
קאַמיש,kamish
קאָמע,kome
קאָמעדיע,komedye
קאַמף,kamf
קאָמפּאָזיטאָר,kompozitor
קאַמפּאַניע,kampanye
קאָמפּיוטער,kompyuter
קאָן,kon
קאַנאַריק,kanarik
קאָנגרעס,kongres
קאָנדוקטאָר,konduktor
קאָנווערב,konverb
קאַנטאָניסט,kantonist
קאָנטע,konte
קאָנטראָליאָר,kontrolyor
קאָנטראַקט,kontrakt
קאָניוגאַציע,konyugatsye
קאָניונקטיוו,konyunktiv
קאָנסטיטוציע,konstitutsye
קאָנפֿערענץ,konferents
קאָנצערט,kontsert
קאַסטן,kastn
קאַסטע,kaste
קאָסמאָנויט,kosmonoyt
קאָסמאָס,kosmos
קאָפּ,kop
קאַפּיטאַל,kapital
קאַפּיטאַליזם,kapitalizm
קאַפּיטאַליסט,kapitalist
קאַפּיטל,kapitl
קאַפּעליוש,kapelyush
קאָפּעקע,kopeke
קאַפּער,kaper
קאַפֿע,kafe
קאַץ,kats
קאַקאַאָ,kakao
קאַקער,kaker
קאָרט,kort
קאַרטאָן,karton
קאַרטאָפֿל,kartofl
קאַרטאָפֿליע,kartoflye
קאַרטע,karte
קאַריקאַטור,karikatur
קאָרן,korn
קאָרנברויט,kornbroyt
קאָרע,kore
קאַרפּ,karp
קאַרש,karsh
קאַרשנבוים,karshnboym
קאָשטשאָל,koshtshol
קאָשיק,koshik
קאָשיקל,koshikl
קאָשמאַר,koshmar
קאַשע,kashe
קאפ,káp
קאפעלע,kapele
קבֿר,keyver
קבֿרות,kvores
קַבָּלָה,kabalá
קָדוֹשׁ,kadósh
קְדֻשָּׁה,q'dushá
קַדַּחַת,kadákhat
קַדִּישׁ,qaddīš
קהילה \ ,k'hilá
קַו,kav
קוּגֶל,kúgel
